ID,Symbol,Direction,SetupType,Leverage,Entry,SL,TP1,Exit,ExitReason,PnL$,PnL%,RR,SweepDist%,KillZone
1,BTC-USDT,LONG,STANDARD,15,90817.927200,90636.472800,93375.000000,90636.472800,SL,-0.05,-0.20,-1.00,0.0000,London
2,ETH-USDT,LONG,STANDARD,15,3111.438330,3105.221670,3234.130000,3105.221670,SL,-0.05,-0.20,-1.00,0.0000,London
3,SOL-USDT,LONG,STANDARD,15,131.152021,130.889979,135.083000,130.889979,SL,-0.05,-0.20,-1.00,0.0000,London
4,XRP-USDT,LONG,STANDARD,15,1.943041,1.939159,2.028800,1.939159,SL,-0.05,-0.21,-1.00,0.0000,London
5,DOGE-USDT,LONG,STANDARD,15,0.126516,0.126264,0.130580,0.126264,SL,-0.05,-0.21,-1.00,0.0000,London
6,ADA-USDT,LONG,STANDARD,15,0.362582,0.361858,0.372770,0.361858,SL,-0.05,-0.21,-1.00,0.0000,London
7,AVAX-USDT,LONG,STANDARD,15,12.512500,12.487500,12.846000,12.487500,SL,-0.05,-0.21,-1.00,0.0000,London
8,LINK-USDT,LONG,STANDARD,15,12.618606,12.593394,12.992000,12.593394,SL,-0.05,-0.21,-1.00,0.0000,London
9,APT-USDT,LONG,STANDARD,15,1.575374,1.572226,1.627700,1.572226,SL,-0.05,-0.21,-1.00,0.0000,London
10,ARB-USDT,LONG,STANDARD,15,0.188789,0.188411,0.197100,0.188411,SL,-0.05,-0.21,-1.00,0.0000,London
11,SUI-USDT,LONG,STANDARD,15,1.542241,1.539159,1.593100,1.539159,SL,-0.05,-0.21,-1.00,0.0000,London
12,PAXG-USDT,SHORT,STANDARD,15,4728.227040,4737.692960,4668.890000,4737.692960,SL,-0.05,-0.21,-1.00,0.0000,London
13,SOL-USDT,LONG,STANDARD,15,128.430302,128.173698,135.083000,128.173698,SL,-0.05,-0.21,-1.00,0.0000,NY
14,XRP-USDT,LONG,STANDARD,15,1.920819,1.916981,2.028800,1.916981,SL,-0.05,-0.21,-1.00,0.0000,NY
15,DOGE-USDT,LONG,STANDARD,15,0.125215,0.124965,0.130580,0.124965,SL,-0.05,-0.21,-1.00,0.0000,NY
16,ADA-USDT,LONG,STANDARD,15,0.357647,0.356933,0.372770,0.356933,SL,-0.05,-0.21,-1.00,0.0000,NY
17,AVAX-USDT,LONG,STANDARD,15,12.410398,12.385602,12.846000,12.385602,SL,-0.05,-0.21,-1.00,0.0000,NY
18,LINK-USDT,LONG,STANDARD,15,12.487475,12.462525,12.992000,12.462525,SL,-0.05,-0.21,-1.00,0.0000,NY
19,DOT-USDT,LONG,STANDARD,15,1.959958,1.956042,2.063000,1.956042,SL,-0.05,-0.21,-1.00,0.0000,NY
