ID,Symbol,Direction,SetupType,Leverage,Entry,SL,TP1,Exit,ExitReason,PnL$,PnL%,RR,SweepDist%,KillZone
1,PAXG-USDT,SHORT,TRAP_SFP,25,4266.848880,4275.391120,4211.550000,4275.391120,SL,-0.09,-0.34,-1.00,0.0610,London
2,XRP-USDT,SHORT,STANDARD,15,2.477320,2.482280,2.353500,2.482280,SL,-0.05,-0.20,-1.00,0.0000,NY
3,DOGE-USDT,SHORT,STANDARD,15,0.202198,0.202602,0.191590,0.199680,TIME,0.17,0.67,6.22,0.0000,NY
4,ADA-USDT,SHORT,STANDARD,15,0.674725,0.676075,0.637710,0.666590,TIME,0.16,0.64,6.02,0.0000,NY
5,BTC-USDT,LONG,STANDARD,15,107526.419000,107311.581000,111664.600000,111664.600000,TP1,0.56,2.21,19.26,0.0000,London
6,ETH-USDT,LONG,STANDARD,15,3842.018180,3834.341820,4075.510000,4030.920000,TIME,0.72,2.78,24.61,0.0000,London
7,SOL-USDT,LONG,STANDARD,15,182.837655,182.472345,194.399000,193.567000,TIME,0.86,3.25,29.37,0.0000,London
8,XRP-USDT,LONG,STANDARD,15,2.413711,2.408889,2.551700,2.494200,TIME,0.48,1.75,16.69,0.0000,London
9,DOGE-USDT,LONG,STANDARD,15,0.192883,0.192497,0.202390,0.202390,TP1,0.72,2.58,24.67,0.0000,London
10,ADA-USDT,LONG,STANDARD,15,0.638568,0.637292,0.673970,0.673970,TP1,0.81,2.84,27.75,0.0000,London
11,AVAX-USDT,LONG,STANDARD,15,19.475456,19.436544,21.079000,20.676000,TIME,0.90,3.08,30.85,0.0000,London
12,LINK-USDT,LONG,STANDARD,15,17.680663,17.645337,19.176000,18.710000,TIME,0.85,2.82,29.14,0.0000,London
13,DOT-USDT,LONG,STANDARD,15,2.949947,2.944053,3.130000,3.130000,TP1,0.89,2.88,30.55,0.0000,London
14,NEAR-USDT,LONG,STANDARD,15,2.164963,2.160637,2.329900,2.329900,TP1,1.12,3.51,38.13,0.0000,London
15,APT-USDT,LONG,STANDARD,15,3.112109,3.105891,3.356700,3.320600,TIME,0.98,2.97,33.53,0.0000,London
16,ARB-USDT,LONG,STANDARD,15,0.308608,0.307992,0.328600,0.328600,TP1,0.95,2.79,32.42,0.0000,London
17,OP-USDT,LONG,STANDARD,15,0.425925,0.425074,0.457700,0.457700,TP1,1.10,3.13,37.34,0.0000,London
18,SUI-USDT,LONG,STANDARD,15,2.472870,2.467930,2.672700,2.650000,TIME,1.05,2.92,35.85,0.0000,London
19,BTC-USDT,LONG,STANDARD,15,107526.419000,107311.581000,111664.600000,111664.600000,TP1,0.56,1.50,19.26,0.0000,NY
20,XRP-USDT,LONG,STANDARD,15,2.402600,2.397800,2.551700,2.482000,TIME,0.47,1.26,16.54,0.0000,NY
21,DOGE-USDT,LONG,STANDARD,15,0.192262,0.191878,0.201870,0.201870,TP1,0.73,1.91,25.01,0.0000,NY
22,SUI-USDT,LONG,STANDARD,15,2.470868,2.465932,2.640800,2.585500,TIME,0.67,1.73,23.22,0.0000,NY
23,PAXG-USDT,LONG,STANDARD,15,4253.249000,4244.751000,4387.990000,4244.751000,SL,-0.05,-0.13,-1.00,0.0000,NY
24,PAXG-USDT,SHORT,TRAP_SFP,25,4383.602010,4392.377990,4249.000000,4249.000000,TP1,0.73,1.85,15.34,0.1381,NY
25,SOL-USDT,LONG,STANDARD,15,182.063882,181.700118,197.670000,181.700118,SL,-0.05,-0.13,-1.00,0.0000,NY
26,XRP-USDT,LONG,STANDARD,15,2.366764,2.362036,2.530700,2.362036,SL,-0.05,-0.13,-1.00,0.0000,NY
27,DOGE-USDT,LONG,STANDARD,15,0.186737,0.186363,0.205570,0.190570,TIME,0.29,0.71,10.27,0.0000,NY
28,LINK-USDT,LONG,STANDARD,15,17.117100,17.082900,18.949000,17.220000,TIME,0.07,0.17,3.01,0.0000,NY
29,APT-USDT,SHORT,TRAP_SFP,25,3.374922,3.381678,3.147700,3.204800,TIME,1.23,3.02,25.18,0.3694,NY
30,OP-USDT,LONG,STANDARD,15,0.423123,0.422277,0.466800,0.422277,SL,-0.05,-0.12,-1.00,0.0000,NY
31,ETH-USDT,SHORT,STANDARD,15,3899.806290,3907.613710,3709.480000,3840.380000,TIME,0.21,0.50,7.61,0.0000,NY
32,SOL-USDT,SHORT,STANDARD,15,189.245565,189.624435,177.015000,189.624435,SL,-0.05,-0.12,-1.00,0.0000,NY
33,XRP-USDT,SHORT,STANDARD,15,2.415482,2.420318,2.324200,2.398800,TIME,0.08,0.20,3.45,0.0000,NY
34,DOGE-USDT,SHORT,STANDARD,15,0.195694,0.196086,0.184720,0.194920,TIME,0.04,0.09,1.98,0.0000,NY
35,ADA-USDT,SHORT,STANDARD,15,0.642147,0.643433,0.606250,0.643433,SL,-0.05,-0.12,-1.00,0.0000,NY
36,LINK-USDT,SHORT,STANDARD,15,17.670312,17.705688,16.710000,17.365000,TIME,0.24,0.57,8.63,0.0000,NY
37,ARB-USDT,SHORT,STANDARD,15,0.312487,0.313113,0.291200,0.313113,SL,-0.05,-0.12,-1.00,0.0000,NY
38,SUI-USDT,SHORT,STANDARD,15,2.471226,2.476174,2.338000,2.446900,TIME,0.13,0.30,4.92,0.0000,NY
39,APT-USDT,LONG,STANDARD,15,3.163260,3.156940,3.320100,3.238800,TIME,0.34,0.80,11.95,0.0000,London
40,SUI-USDT,LONG,STANDARD,15,2.403301,2.398499,2.502900,2.469400,TIME,0.39,0.92,13.77,0.0000,London
