ID,Symbol,Direction,SetupType,Leverage,Entry,SL,TP1,Exit,ExitReason,PnL$,PnL%,RR,SweepDist%,KillZone
649,ADA-USDT,SHORT,STANDARD,15,0.401278,0.402082,0.382570,0.398560,TIME,0.08,0.05,3.38,0.0000,London
650,LINK-USDT,SHORT,STANDARD,15,13.440546,13.467454,12.962000,13.467454,SL,-0.05,-0.03,-1.00,0.0000,London
651,DOT-USDT,SHORT,STANDARD,15,2.154843,2.159157,2.105000,2.159157,SL,-0.05,-0.03,-1.00,0.0000,London
652,APT-USDT,SHORT,STANDARD,15,1.924773,1.928627,1.846500,1.918700,TIME,0.03,0.02,1.58,0.0000,London
653,ARB-USDT,SHORT,STANDARD,15,0.212587,0.213013,0.203800,0.213013,SL,-0.05,-0.03,-1.00,0.0000,London
654,OP-USDT,SHORT,STANDARD,15,0.316184,0.316816,0.300300,0.316816,SL,-0.05,-0.03,-1.00,0.0000,London
655,SUI-USDT,SHORT,STANDARD,15,1.711986,1.715414,1.613100,1.700000,TIME,0.08,0.05,3.50,0.0000,London
656,PAXG-USDT,LONG,STANDARD,15,4344.780440,4336.099560,4374.340000,4352.150000,TIME,0.00,0.00,0.85,0.0000,London
657,BTC-USDT,SHORT,STANDARD,15,91684.823400,91868.376600,89610.600000,91217.200000,TIME,0.06,0.03,2.55,0.0000,NY
658,SOL-USDT,SHORT,STANDARD,15,134.779086,135.048914,130.424000,133.885000,TIME,0.08,0.04,3.31,0.0000,NY
659,ADA-USDT,SHORT,STANDARD,15,0.404765,0.405575,0.383430,0.401200,TIME,0.11,0.06,4.40,0.0000,NY
660,NEAR-USDT,SHORT,STANDARD,15,1.728570,1.732030,1.670700,1.725800,TIME,0.00,0.00,0.80,0.0000,NY
661,SUI-USDT,SHORT,STANDARD,15,1.715483,1.718917,1.625700,1.712000,TIME,0.01,0.01,1.01,0.0000,NY
662,PAXG-USDT,SHORT,STANDARD,15,4367.388240,4376.131760,4346.000000,4366.130000,TIME,-0.02,-0.01,0.14,0.0000,NY
663,ADA-USDT,LONG,STANDARD,15,0.393193,0.392407,0.407590,0.407590,TP1,0.53,0.30,18.33,0.0000,London
664,DOT-USDT,LONG,STANDARD,15,2.109107,2.104893,2.179000,2.152000,TIME,0.28,0.16,10.18,0.0000,London
665,NEAR-USDT,SHORT,STANDARD,15,1.797501,1.801099,1.695800,1.733800,TIME,0.51,0.29,17.70,0.0000,London
666,OP-USDT,LONG,STANDARD,15,0.311912,0.311288,0.325000,0.317400,TIME,0.24,0.14,8.81,0.0000,London
667,SUI-USDT,LONG,STANDARD,15,1.661460,1.658140,1.751500,1.682800,TIME,0.17,0.10,6.43,0.0000,London
668,DOGE-USDT,LONG,STANDARD,15,0.145826,0.145534,0.154140,0.152550,TIME,0.67,0.38,23.08,0.0000,NY
669,ADA-USDT,LONG,STANDARD,15,0.394094,0.393306,0.407590,0.407590,TP1,0.49,0.28,17.14,0.0000,NY
670,DOT-USDT,LONG,STANDARD,15,2.097095,2.092905,2.179000,2.179000,TP1,0.56,0.32,19.55,0.0000,NY
671,NEAR-USDT,LONG,STANDARD,15,1.706004,1.702596,1.799300,1.779600,TIME,0.63,0.35,21.59,0.0000,NY
672,APT-USDT,LONG,STANDARD,15,1.898296,1.894504,1.977700,1.977700,TP1,0.61,0.34,20.94,0.0000,NY
673,ARB-USDT,LONG,STANDARD,15,0.211211,0.210789,0.219700,0.219700,TP1,0.58,0.32,20.12,0.0000,NY
674,OP-USDT,LONG,STANDARD,15,0.312312,0.311688,0.325000,0.325000,TP1,0.59,0.33,20.33,0.0000,NY
675,PAXG-USDT,SHORT,STANDARD,15,4444.221330,4453.118670,4347.750000,4451.330000,TIME,-0.04,-0.02,0.80,0.0000,NY
676,SOL-USDT,SHORT,STANDARD,15,139.860000,140.140000,133.108000,140.140000,SL,-0.05,-0.03,-1.00,0.0000,London
677,XRP-USDT,SHORT,STANDARD,15,2.413184,2.418016,2.111200,2.380500,TIME,0.18,0.10,6.77,0.0000,London
678,BTC-USDT,LONG,STANDARD,15,91315.023800,91132.576200,94400.000000,91132.576200,SL,-0.05,-0.03,-1.00,0.0000,NY
679,ETH-USDT,LONG,STANDARD,15,3184.921740,3178.558260,3307.380000,3178.558260,SL,-0.05,-0.03,-1.00,0.0000,NY
680,SOL-USDT,LONG,STANDARD,15,136.246110,135.973890,143.399000,135.973890,SL,-0.05,-0.03,-1.00,0.0000,NY
681,PAXG-USDT,LONG,STANDARD,15,4434.930500,4426.069500,4481.280000,4456.250000,TIME,0.05,0.03,2.41,0.0000,London
682,XRP-USDT,LONG,STANDARD,15,2.072971,2.068829,2.160600,2.091000,TIME,0.11,0.06,4.35,0.0000,London
683,AVAX-USDT,LONG,STANDARD,15,13.615602,13.588398,14.219000,13.809000,TIME,0.19,0.11,7.11,0.0000,London
684,LINK-USDT,LONG,STANDARD,15,13.038025,13.011975,13.439000,13.159000,TIME,0.12,0.07,4.64,0.0000,London
