ID,Symbol,Direction,SetupType,Leverage,Entry,SL,TP1,Exit,ExitReason,PnL$,PnL%,RR,SweepDist%,KillZone
1,PAXG-USDT,SHORT,STANDARD,15,4728.227040,4737.692960,4668.890000,4737.692960,SL,-0.05,-0.20,-1.00,0.0000,London
2,ETH-USDT,LONG,STANDARD,15,3087.364280,3081.195720,3234.130000,3081.195720,SL,-0.05,-0.20,-1.00,0.0000,NY
3,APT-USDT,SHORT,STANDARD,15,1.627171,1.630429,1.562800,1.562800,TP1,0.57,2.30,19.76,0.0000,NY
4,PAXG-USDT,SHORT,STANDARD,15,4907.237850,4917.062150,4727.740000,4883.520000,TIME,0.05,0.20,2.41,0.0000,London
5,OP-USDT,SHORT,STANDARD,15,0.314086,0.314714,0.296500,0.314714,SL,-0.05,-0.20,-1.00,0.0000,NY
6,OP-USDT,SHORT,TRAP_SFP,25,0.324975,0.325625,0.294300,0.306600,TIME,1.38,5.41,28.24,2.1350,London
7,BTC-USDT,SHORT,STANDARD,15,90427.681800,90608.718200,87215.300000,89883.000000,TIME,0.07,0.26,3.01,0.0000,NY
8,OP-USDT,SHORT,TRAP_SFP,25,0.324975,0.325625,0.294300,0.308000,TIME,1.27,4.72,26.09,1.5585,NY
9,BTC-USDT,SHORT,STANDARD,15,90209.200500,90389.799500,88468.000000,88776.600000,TIME,0.22,0.77,7.93,0.0000,London
10,ADA-USDT,SHORT,STANDARD,15,0.365804,0.366536,0.355350,0.355350,TP1,0.41,1.44,14.27,0.0000,London
11,DOT-USDT,SHORT,STANDARD,15,1.981017,1.984983,1.903000,1.903000,TP1,0.57,1.98,19.67,0.0000,London
12,APT-USDT,SHORT,STANDARD,15,1.613585,1.616815,1.514900,1.555200,TIME,0.52,1.78,18.07,0.0000,London
13,OP-USDT,SHORT,STANDARD,15,0.318981,0.319619,0.302600,0.302600,TP1,0.75,2.51,25.65,0.0000,London
14,PAXG-USDT,SHORT,STANDARD,15,4977.397620,4987.362380,4825.640000,4969.340000,TIME,0.00,0.01,0.81,0.0000,London
15,BTC-USDT,LONG,STANDARD,15,88556.468000,88379.532000,90299.500000,90080.000000,TIME,0.24,0.77,8.61,0.0000,NY
16,ETH-USDT,LONG,STANDARD,15,2907.374470,2901.565530,3008.490000,2958.470000,TIME,0.24,0.79,8.80,0.0000,NY
17,SOL-USDT,LONG,STANDARD,15,126.801675,126.548325,130.890000,128.027000,TIME,0.12,0.40,4.84,0.0000,NY
18,XRP-USDT,LONG,STANDARD,15,1.902400,1.898599,1.948700,1.923900,TIME,0.15,0.48,5.66,0.0000,NY
19,AVAX-USDT,LONG,STANDARD,15,12.041029,12.016971,12.390000,12.179000,TIME,0.15,0.48,5.73,0.0000,NY
20,LINK-USDT,LONG,STANDARD,15,12.128116,12.103884,12.472000,12.263000,TIME,0.15,0.46,5.57,0.0000,NY
21,SUI-USDT,LONG,STANDARD,15,1.482281,1.479319,1.530200,1.495600,TIME,0.11,0.36,4.50,0.0000,NY
22,PAXG-USDT,SHORT,STANDARD,15,5031.663300,5041.736700,4936.830000,5041.736700,SL,-0.05,-0.16,-1.00,0.0000,NY
23,DOT-USDT,LONG,STANDARD,15,1.898897,1.895103,1.943000,1.895103,SL,-0.05,-0.16,-1.00,0.0000,London
24,NEAR-USDT,SHORT,STANDARD,15,1.518680,1.521720,1.487200,1.487200,TP1,0.29,0.91,10.35,0.0000,London
25,APT-USDT,SHORT,STANDARD,15,1.563435,1.566565,1.533000,1.533000,TP1,0.27,0.85,9.72,0.0000,London
26,SOL-USDT,SHORT,STANDARD,15,127.566306,127.821694,125.905000,125.905000,TP1,0.17,0.54,6.51,0.0000,NY
27,ADA-USDT,SHORT,TRAP_LIQ_SWEEP,50,0.359900,0.360620,0.353550,0.353550,TP1,0.81,2.50,8.81,0.1502,NY
28,NEAR-USDT,SHORT,STANDARD,15,1.513485,1.516515,1.483700,1.483700,TP1,0.27,0.82,9.83,0.0000,NY
29,APT-USDT,SHORT,STANDARD,15,1.582416,1.585584,1.533000,1.533000,TP1,0.45,1.33,15.60,0.0000,NY
30,OP-USDT,SHORT,STANDARD,15,0.306094,0.306706,0.297200,0.297200,TP1,0.41,1.22,14.51,0.0000,NY
31,PAXG-USDT,LONG,STANDARD,15,5025.640620,5015.599380,5121.150000,5093.870000,TIME,0.18,0.53,6.79,0.0000,NY
32,PAXG-USDT,SHORT,TRAP_SFP,25,5142.422430,5152.717570,5020.620000,5114.380000,TIME,0.10,0.29,2.72,0.5159,London
33,PAXG-USDT,SHORT,STANDARD,15,5142.422430,5152.717570,5035.000000,5035.000000,TP1,0.29,0.84,10.43,0.0000,NY
34,BTC-USDT,SHORT,STANDARD,15,88880.130900,89058.069100,86990.500000,87942.500000,TIME,0.14,0.39,5.27,0.0000,London
35,ETH-USDT,SHORT,STANDARD,15,2952.784260,2958.695740,2874.100000,2929.640000,TIME,0.10,0.28,3.92,0.0000,London
36,SOL-USDT,SHORT,STANDARD,15,125.396478,125.647522,121.738000,124.009000,TIME,0.14,0.41,5.53,0.0000,London
37,XRP-USDT,SHORT,TRAP_SFP,25,1.943455,1.947345,1.876000,1.887200,TIME,0.69,1.95,14.46,0.2825,London
38,DOGE-USDT,SHORT,STANDARD,15,0.123686,0.123934,0.120570,0.122250,TIME,0.15,0.42,5.80,0.0000,London
39,NEAR-USDT,SHORT,STANDARD,15,1.485813,1.488787,1.439400,1.461500,TIME,0.22,0.62,8.17,0.0000,London
40,APT-USDT,SHORT,STANDARD,15,1.588310,1.591490,1.525900,1.525900,TP1,0.57,1.56,19.63,0.0000,London
41,XRP-USDT,LONG,STANDARD,15,1.882781,1.879019,1.945400,1.915500,TIME,0.24,0.65,8.70,0.0000,NY
42,DOGE-USDT,LONG,STANDARD,15,0.121101,0.120859,0.123810,0.123810,TP1,0.31,0.84,11.20,0.0000,NY
43,AVAX-USDT,LONG,STANDARD,15,11.620609,11.597391,11.908000,11.908000,TP1,0.35,0.93,12.38,0.0000,NY
44,APT-USDT,LONG,STANDARD,15,1.528927,1.525873,1.589900,1.568600,TIME,0.37,0.97,12.99,0.0000,NY
45,ARB-USDT,LONG,STANDARD,15,0.167567,0.167233,0.173300,0.171400,TIME,0.32,0.84,11.45,0.0000,NY
46,OP-USDT,LONG,STANDARD,15,0.292893,0.292307,0.301600,0.299900,TIME,0.34,0.88,11.97,0.0000,NY
47,PAXG-USDT,SHORT,STANDARD,15,5121.932940,5132.187060,4987.840000,5132.187060,SL,-0.05,-0.13,-1.00,0.0000,NY
48,BTC-USDT,SHORT,TRAP_SFP,25,89400.010500,89578.989500,87265.600000,89400.010500,NO_DATA,-0.04,-0.09,0.00,0.3329,London
49,SOL-USDT,SHORT,STANDARD,15,127.654218,127.909782,123.060000,127.654218,NO_DATA,-0.02,-0.05,0.00,0.0000,London
50,DOGE-USDT,SHORT,TRAP_SFP,25,0.126443,0.126697,0.121320,0.126443,NO_DATA,-0.04,-0.09,0.00,0.9612,London
51,BTC-USDT,SHORT,TRAP_SFP,25,89400.010500,89578.989500,87265.600000,89400.010500,NO_DATA,-0.04,-0.09,0.00,0.3329,NY
52,SOL-USDT,SHORT,STANDARD,15,127.654218,127.909782,123.060000,127.654218,NO_DATA,-0.02,-0.05,0.00,0.0000,NY
53,DOGE-USDT,SHORT,TRAP_SFP,25,0.126443,0.126697,0.121320,0.126443,NO_DATA,-0.04,-0.09,0.00,0.9612,NY
