ID,Symbol,Direction,SetupType,Leverage,Entry,SL,TP1,Exit,ExitReason,PnL$,PnL%,RR,SweepDist%,KillZone
1,BTC-USDT,SHORT,STANDARD,15,109331.559000,109550.441000,108083.300000,109331.559000,NO_DATA,-0.02,-0.08,0.00,0.0000,London
2,ETH-USDT,SHORT,STANDARD,15,4484.880630,4493.859370,4329.620000,4484.880630,NO_DATA,-0.02,-0.08,0.00,0.0000,London
3,SOL-USDT,SHORT,STANDARD,15,206.337456,206.750544,197.474000,206.337456,NO_DATA,-0.02,-0.08,0.00,0.0000,London
4,XRP-USDT,SHORT,STANDARD,15,2.864133,2.869867,2.772600,2.864133,NO_DATA,-0.02,-0.08,0.00,0.0000,London
5,DOGE-USDT,SHORT,STANDARD,15,0.221039,0.221481,0.212750,0.221039,NO_DATA,-0.02,-0.08,0.00,0.0000,London
6,ADA-USDT,SHORT,STANDARD,15,0.837222,0.838898,0.805040,0.837222,NO_DATA,-0.02,-0.08,0.00,0.0000,London
7,AVAX-USDT,SHORT,STANDARD,15,24.039936,24.088064,23.355000,24.039936,NO_DATA,-0.02,-0.08,0.00,0.0000,London
8,LINK-USDT,SHORT,STANDARD,15,23.913063,23.960937,22.947000,23.913063,NO_DATA,-0.02,-0.08,0.00,0.0000,London
9,DOT-USDT,SHORT,STANDARD,15,3.868128,3.875872,3.730000,3.868128,NO_DATA,-0.02,-0.08,0.00,0.0000,London
10,NEAR-USDT,SHORT,STANDARD,15,2.478419,2.483381,2.403200,2.478419,NO_DATA,-0.02,-0.08,0.00,0.0000,London
11,APT-USDT,SHORT,STANDARD,15,4.364631,4.373369,4.241100,4.364631,NO_DATA,-0.02,-0.08,0.00,0.0000,London
12,ARB-USDT,SHORT,STANDARD,15,0.517482,0.518518,0.492500,0.517482,NO_DATA,-0.02,-0.08,0.00,0.0000,London
13,OP-USDT,SHORT,STANDARD,15,0.721178,0.722622,0.695300,0.721178,NO_DATA,-0.02,-0.08,0.00,0.0000,London
14,SUI-USDT,SHORT,STANDARD,15,3.345851,3.352549,3.245100,3.345851,NO_DATA,-0.02,-0.08,0.00,0.0000,London
15,PAXG-USDT,LONG,STANDARD,15,3457.594140,3450.685860,3465.350000,3457.594140,NO_DATA,-0.02,-0.08,0.00,0.0000,London
16,BTC-USDT,SHORT,STANDARD,15,109331.559000,109550.441000,108160.300000,109331.559000,NO_DATA,-0.02,-0.09,0.00,0.0000,NY
17,OP-USDT,LONG,STANDARD,15,0.691591,0.690209,0.719200,0.691591,NO_DATA,-0.02,-0.09,0.00,0.0000,NY
18,BTC-USDT,LONG,STANDARD,15,107318.711500,107104.288500,109197.100000,107318.711500,NO_DATA,-0.02,-0.09,0.00,0.0000,London
19,ETH-USDT,LONG,STANDARD,15,4361.096740,4352.383260,4496.200000,4361.096740,NO_DATA,-0.02,-0.09,0.00,0.0000,London
